username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
News From Jersey,372254587,2016-04-08 14:38:11,b'#Jersey #nj Rutgers 3-star QB offeree Tommy DeVito to announce soon https://t.co/FXZqyCbn06',0,Jersey,148,0,0.0,0.0
$ULLY,376450427,2016-04-08 14:37:58,b'RT @SimonShayne: I am honored and thankful to say that I have received my 2nd offer from Rutgers University. https://t.co/wrNTzOuPVv',38,None,398,887,0.0,0.0
Rutgers-Camden,21427812,2016-04-08 14:37:34,b'RT @RUCRaptorRage: Sarlo earns ECAC Div. III Co-Golfer of the Month for March https://t.co/XRxL4lsPrK',4,None,4520,194,0.0,0.0
The Daily Targum,25813998,2016-04-08 14:36:18,"b""RT @TargumSports: .@BaseballRU aims to continue its impressive play at home in a two-game set with St. Joe's https://t.co/l5vLtiZk5m https:\xe2\x80\xa6""",1,None,6394,762,1.0,1.0
DJ TEA®,2859971219,2016-04-08 14:36:09,b'Friday!\nTickets https://t.co/SuaJJuZr0A\nNo ticket no entree\nNo door admission \nCome though Geeked Up https://t.co/hJAEiF4hcL',0,None,1654,235,0.0,0.0
Chris Morett,2499359107,2016-04-08 14:35:53,b'RT @RutgersU: The new Joachim Messing Endowed Chair in Molecular Genetics aims to recruit outstanding researchers to #Rutgers: https://t.co\xe2\x80\xa6',6,Rutgers,471,716,0.3181818181818182,0.6647727272727273
VAWC_RU,974199200,2016-04-08 14:34:51,"b""A delightful review on the Eve Ensler Women's Consortium lecture by the @Daily_Targum. @IWLRutgers @RutgersU""",0,None,258,337,1.0,1.0
The Daily Targum,25813998,2016-04-08 14:32:01,b'Best protein bars found at Rutgers convenience stores https://t.co/ibYWkB64fc #Insidebeat https://t.co/beHxY9EcCz',0,Insidebeat,6394,762,1.0,0.3
NJ Medical School,1563385638,2016-04-08 14:31:48,b'Click the link to register for this event: https://t.co/AqbZuxEbEP. https://t.co/Rr6MVoH26a',0,None,1034,722,0.0,0.0
Kevin Moore,1638642871,2016-04-08 14:31:32,b'@nahshon_taylor thanks Rutgers',0,None,357,292,0.2,0.2
Darryl Slater,134207682,2016-04-08 14:30:28,b'Ex-Rutgers receiver Leonte Carroo to visit Jets next week | https://t.co/Y7JrHTr8kl via @DDuggan21  https://t.co/mze7CojUVi',0,None,6339,584,0.0,0.0
APPSportsDesk,2962938693,2016-04-08 14:30:18,"b""Pikiell hails Rutgers' new strength coach https://t.co/aFr6KoGLge via @njhoopshaven""",0,None,1423,902,0.13636363636363635,0.45454545454545453
Targum Sports,1244733392,2016-04-08 14:30:16,"b"".@BaseballRU aims to continue its impressive play at home in a two-game set with St. Joe's https://t.co/l5vLtiZk5m https://t.co/D7PsJuuhGB""",1,None,924,59,1.0,1.0
Rutgers Involvement,2165332843,2016-04-08 14:30:05,b'Transition Workshop today at 2 at the CASC! Make sure you registered if you are going to attend! https://t.co/XbgkVw0oDg',0,None,760,605,0.625,0.8888888888888888
Rachel Simone,710258212,2016-04-08 14:29:55,"b""@DramaWiz_ do it when you come to Rutgers! What's your major now?""",0,None,124,182,0.0625,0.5
Neturei Karta,140666237,2016-04-08 14:29:20,b'Rabbi Weiss Speaking at Rutgers University\n\nhttps://t.co/47xcBlRMVF https://t.co/HeG4YQe7QM',0,None,2389,77,0.0,0.0
Donna Thornton,15683812,2016-04-08 14:28:10,b'RT @rutgersalumni: Want to be featured in the #Rutgers 250 Digital Mosaic? Share your photos using #RU250Mosaic or upload them here https:/\xe2\x80\xa6',2,Rutgers,256,302,0.0,0.0
Kelvin,537873687,2016-04-08 14:27:32,b'RT @mattyanick32: Excited to announce I will be continuing my education and baseball career at Rutgers University-Camden! #GoRaptors https:\xe2\x80\xa6',11,GoRaptors,3412,298,0.46875,0.75
COSI Open Solutions,58020058,2016-04-08 14:25:51,"b'RT @SummertonNews: #Women in the US today only hold 24.5% of the seats in state #legislatures, despite being a majority of our citizens htt\xe2\x80\xa6'",1,Women,355,34,0.0,1.0
COSI Open Solutions,58020058,2016-04-08 14:25:43,"b'RT @SummertonNews: #Women in the US today only hold 19..4% of the seats in the US #Congress, despite being a majority of our citizens https\xe2\x80\xa6'",1,Women,355,34,0.0,1.0
