created,text,retwc,hashtag,followers,friends
2016-04-08 14:58:01,b'RT @BERT_Swedish: The majority of my tournament winnings go towards paying Rutgers parking tickets and New Brunswick alternate side parking\xe2\x80\xa6',3,None,150,201
2016-04-08 14:56:36,"b""This Saturday, it's the Camden Comic Con 2016 on the campus of Rutgers-Camden Athletics &amp; Fitness Center from 10AM\xe2\x80\xa6 https://t.co/qgfXKgJMDE""",0,None,246,168
2016-04-08 14:56:33,"b""RT @Russ_Steinberg: Jay Young didn't get the CCSU job (despite reportedly being the AD's pick) and was not hired at Stony Brook. Now headed\xe2\x80\xa6""",2,None,3241,276
2016-04-08 14:55:27,"b""RT @JonRothstein: Rutgers' Steve Pikiell will hire Jay Young as an assistant coach, sources told @CBSSports. Young was on staff at Stony Br\xe2\x80\xa6""",8,None,3241,276
2016-04-08 14:55:09,b'RT @coachcalcutta: \xf0\x9f\x91\x8d @coachcalcutta rocking it @Rutgers with @NJFCA talking @CoachComm &amp; Tempest FX &amp; Tempo!! @VarsityAces @NJ_FB_SPOT\xf0\x9f\x8f\x88 htt\xe2\x80\xa6',1,None,1491,1408
2016-04-08 14:54:46,b'Rutgers was testing me but I survive this week',0,None,372,513
2016-04-08 14:54:40,b'CONFIRMED:  PRESIDENT OBAMA WILL NOT BE THE SPEAKER AT RUTGERS.',0,None,521,469
2016-04-08 14:54:38,b'RU-N prof illuminates power of the written word\xe2\x80\xa6in Sanskrit: https://t.co/Wp71CWhRZs via @timesofindia',0,None,6660,585
2016-04-08 14:53:34,"b'See our latest #Workfromhome, NJ #job and click to apply: Rutgers University \xe2\x80\x93 Retail Management - https://t.co/hYALVGiT0N #Retail #Hiring'",0,Workfromhome,440,301
2016-04-08 14:51:26,b'@RutgersU effort to directly impact #towngown relationships with @CityofNewBruns. Off-Campus Living  https://t.co/iygAbsZnuY',0,towngown,70,117
2016-04-08 14:50:44,b'RT @mattyanick32: Excited to announce I will be continuing my education and baseball career at Rutgers University-Camden! #GoRaptors https:\xe2\x80\xa6',13,GoRaptors,601,613
2016-04-08 14:50:24,b'Behind the Scenes: We are so glad that @Rutgers_Camden student @Colinshee is a member of the #GenderWatch2016 team https://t.co/pfRKuCeAJt',0,GenderWatch2016,2088,341
2016-04-08 14:50:17,b'Rutgers football lands Toms River North star recruit Bryce... https://t.co/CXg7Pq8R0Y https://t.co/e6mT3lq4wy',0,None,1392,4989
2016-04-08 14:49:56,"b'RT @GoodmanESPN: Jay Young, who should have gotten the Stony Brook job, will head to Rutgers and re-join Steve Pikiell, sources told ESPN.'",18,None,155,100
2016-04-08 14:48:41,"b'RT @CoIIegeCampuses: Rutgers University\n:: New Brunswick, NJ https://t.co/SIAQS7pnIV'",447,None,477,469
2016-04-08 14:48:20,b'RT @RichieSRivals: Fat Cat Friday: Everything but the kitchen sink! - https://t.co/pPvYFvjrWa #AshEra #TheHunt #RFootball #CHOPNation https\xe2\x80\xa6',2,AshEra,2128,2341
2016-04-08 14:48:19,"b""Journalist Bill Moyers will speak at this year's Rutgers commencement ceremony on May 15 https://t.co/FFB70mbNjI""",0,None,2222,900
2016-04-08 14:48:03,b'RT @RyanL247: War Room - Decisions Coming is LOADED with #Rutgers notes and updates - https://t.co/JAc8CJw3UZ #CHOPNation #AshEra #TheHunt\xe2\x80\xa6',2,Rutgers,2128,2341
2016-04-08 14:47:57,b'RT @DraftDiamonds: Did you miss this: New post: Rutgers linebacker Kaiwan Lewis will attend the #Jets and #Giants https://t.co/5g4oIPwrXn #\xe2\x80\xa6',3,Jets,979,1120
2016-04-08 14:47:50,"b'The depth chart began to shake out for Rutgers as well, as there has begun to be some separation in the QB battle. https://t.co/7QOmcbYxcu'",0,None,506,412
